Age,death_rate,Accidents,Homicide,Respiratory illness,Influenza and pneumonia,Dementia,Cancer,Cardiovascular disease,Epilepsy,Cerebrovascular disease,Septicaemia,Genetic deformation,Suicide,Liver disease,Other
76,0.025369,0,0,0.193396859481949,0.0735807274191384,0.141994363172728,0.310730103341833,0.167393638437794,0,0.112904308146558,0,0,0,0,0
77,0.028178,0,0,0.193396859481949,0.0735807274191384,0.141994363172728,0.310730103341833,0.167393638437794,0,0.112904308146558,0,0,0,0,0
78,0.031865,0,0,0.193396859481949,0.0735807274191384,0.141994363172728,0.310730103341833,0.167393638437794,0,0.112904308146558,0,0,0,0,0
79,0.035010,0,0,0.193396859481949,0.0735807274191384,0.141994363172728,0.310730103341833,0.167393638437794,0,0.112904308146558,0,0,0,0,0
80,0.039695,0,0,0.0882853765143545,0.126972592488151,0.419594147568898,0,0.135345603626859,0,0.131950846520103,0,0,0,0,0.0978514332816347
81,0.044925,0,0,0.0882853765143545,0.126972592488151,0.419594147568898,0,0.135345603626859,0,0.131950846520103,0,0,0,0,0.0978514332816347
82,0.051057,0,0,0.0882853765143545,0.126972592488151,0.419594147568898,0,0.135345603626859,0,0.131950846520103,0,0,0,0,0.0978514332816347
83,0.059202,0,0,0.0882853765143545,0.126972592488151,0.419594147568898,0,0.135345603626859,0,0.131950846520103,0,0,0,0,0.0978514332816347
84,0.067236,0,0,0.0882853765143545,0.126972592488151,0.419594147568898,0,0.135345603626859,0,0.131950846520103,0,0,0,0,0.0978514332816347
85,0.076619,0,0,0.0882853765143545,0.126972592488151,0.419594147568898,0,0.135345603626859,0,0.131950846520103,0,0,0,0,0.0978514332816347
86,0.087955,0,0,0.0882853765143545,0.126972592488151,0.419594147568898,0,0.135345603626859,0,0.131950846520103,0,0,0,0,0.0978514332816347
87,0.100071,0,0,0.0882853765143545,0.126972592488151,0.419594147568898,0,0.135345603626859,0,0.131950846520103,0,0,0,0,0.0978514332816347
88,0.114565,0,0,0.0882853765143545,0.126972592488151,0.419594147568898,0,0.135345603626859,0,0.131950846520103,0,0,0,0,0.0978514332816347
89,0.129490,0,0,0.0882853765143545,0.126972592488151,0.419594147568898,0,0.135345603626859,0,0.131950846520103,0,0,0,0,0.0978514332816347
90,0.147050,0,0,0.0882853765143545,0.126972592488151,0.419594147568898,0,0.135345603626859,0,0.131950846520103,0,0,0,0,0.0978514332816347
91,0.165974,0,0,0.0882853765143545,0.126972592488151,0.419594147568898,0,0.135345603626859,0,0.131950846520103,0,0,0,0,0.0978514332816347
92,0.185106,0,0,0.0882853765143545,0.126972592488151,0.419594147568898,0,0.135345603626859,0,0.131950846520103,0,0,0,0,0.0978514332816347
93,0.206525,0,0,0.0882853765143545,0.126972592488151,0.419594147568898,0,0.135345603626859,0,0.131950846520103,0,0,0,0,0.0978514332816347
94,0.230003,0,0,0.0882853765143545,0.126972592488151,0.419594147568898,0,0.135345603626859,0,0.131950846520103,0,0,0,0,0.0978514332816347
95,0.260357,0,0,0.0882853765143545,0.126972592488151,0.419594147568898,0,0.135345603626859,0,0.131950846520103,0,0,0,0,0.0978514332816347
96,0.284553,0,0,0.0882853765143545,0.126972592488151,0.419594147568898,0,0.135345603626859,0,0.131950846520103,0,0,0,0,0.0978514332816347
97,0.313245,0,0,0.0882853765143545,0.126972592488151,0.419594147568898,0,0.135345603626859,0,0.131950846520103,0,0,0,0,0.0978514332816347
98,0.339652,0,0,0.0882853765143545,0.126972592488151,0.419594147568898,0,0.135345603626859,0,0.131950846520103,0,0,0,0,0.0978514332816347
99,0.375917,0,0,0.0882853765143545,0.126972592488151,0.419594147568898,0,0.135345603626859,0,0.131950846520103,0,0,0,0,0.0978514332816347
100,0.409183,0,0,0.0882853765143545,0.126972592488151,0.419594147568898,0,0.135345603626859,0,0.131950846520103,0,0,0,0,0.0978514332816347
